1 | NACIONAL  | L_NOM_COMMUN
12 | confirmadas  | L_ADJECTIF_GENERAL
24 | por  | L_PREPOSITION
28 | pérez  | L_NOM_PROPRE_ANTHROPONYME
34 | rubalcaba  | L_NOM_PROPRE_ANTHROPONYME
46 | Elena  | L_NOM_PROPRE_ANTHROPONYME
52 | Espinosa  | L_NOM_PROPRE_ANTHROPONYME
61 | y  | L_CONJ_COORD
63 | Elena  | L_NOM_PROPRE_ANTHROPONYME
69 | Salgado  | L_NOM_PROPRE_ANTHROPONYME
76 | ,  | L_PONCTU_FAIBLE
78 | ministras  | L_NOM_COMMUN
88 | de  | L_PREPOSITION
91 | Agricultura  | L_NOM_COMMUN
103 | y  | L_CONJ_COORD
105 | Sanidad  | L_NOM_COMMUN
113 | del  | L_DET_ARTICLE_CONTRACTE_DE_EL
117 | Gobierno  | L_NOM_COMMUN
126 | de  | L_PREPOSITION
129 | Rodríguez  | L_NOM_PROPRE_ANTHROPONYME
139 | Zapatero  | L_NOM_PROPRE_ANTHROPONYME
148 | Madrid  | L_NOM_PROPRE_TOPONYME_OU_ORGANISATION
154 | .  | L_PONCTU_FORTE_FERMANTE
156 | Agencias  | L_NOM_COMMUN
165 | La  | L_DET_ARTICLE_DEF
168 | ex  | L_ADJECTIF_GENERAL
171 | presidenta  | L_NOM_COMMUN
182 | de  | L_PREPOSITION
185 | la  | L_DET_ARTICLE_DEF
188 | Autoridad  | L_NOM_COMMUN
198 | Portuaria  | L_ADJECTIF_GENERAL
208 | de  | L_PREPOSITION
211 | Vigo  | L_NOM_ORGANISATION | L_NOM_PROPRE_ANTHROPONYME | L_NOM_PROPRE_TOPONYME_OU_ORGANISATION
215 | ,  | L_PONCTU_FAIBLE
217 | Elena  | L_NOM_PROPRE_ANTHROPONYME
223 | Espinosa  | L_NOM_PROPRE_ANTHROPONYME
232 | Mangana  | L_NOM_PROPRE_ANTHROPONYME
239 | ,  | L_PONCTU_FAIBLE
241 | será  | L_VERBE_SER_INDICATIF
246 | la  | L_DET_ARTICLE_DEF
249 | ministra  | L_NOM_COMMUN
258 | de  | L_PREPOSITION
261 | Agricultura  | L_NOM_COMMUN
273 | y  | L_CONJ_COORD
275 | Pesca  | L_NOM_COMMUN
