1 | 上海 | Np lieu
3 | 浦东 | Np lieu
5 | 开发 | Nc général
7 | 与 | conj coordination lier que d'expressions
8 | 法制 | Nc général
10 | 建设 | Nc général
12 | 同步 | verbe principal
14 | 新华社 | Nc général
17 | 上海 | Np lieu
19 | 二月 | Nc mois
21 | 十日 | Nc jour
23 | 电 | Nc général
24 | （ | ponctuation parenthèses
25 | 记者 | Nc général
27 | 谢金虎 | Np noms
30 | 、 | ponctuation faible
31 | 张持坚 | Np noms
34 | ） | ponctuation parenthèses
35 | 上海 | Np lieu
37 | 浦东 | Np lieu
39 | 近年 | Nc notion de temps saison et Jie Qi
41 | 来 | Nc notion de direction
42 | 颁布 | verbe principal
44 | 实行 | verbe principal
46 | 了 | particule temps action finie
47 | 涉及 | verbe principal
49 | 经济 | Nc général
51 | 、 | ponctuation faible
52 | 贸易 | Nc général
54 | 、 | ponctuation faible
55 | 建设 | Nc général
57 | 、 | ponctuation faible
58 | 规划 | Nc général
60 | 、 | ponctuation faible
61 | 科技 | Nc général
63 | 、 | ponctuation faible
64 | 文教 | Nc général
66 | 等 | particule autres
67 | 领域 | Nc général
69 | 的 | particule structure suffix de modifier
70 | 七十一 | num cardinale
73 | 件 | parenthèses 
74 | 法规性 | Nc général
77 | 文件 | Nc général
79 | ， | ponctuation faible
80 | 确保 | verbe principal
82 | 了 | particule temps action finie
83 | 浦东 | Np lieu
85 | 开发 | Nc général
87 | 的 | particule structure dans la structure de
88 | 有序 | adj qualificatif général attribut du sujet
90 | 进行 | Nc général
92 | 。 | ponctuation forte
93 | 浦东 | Np lieu
95 | 开发 | Nc général
97 | 开放 | Nc général
99 | 是 | verbe copule
100 | 一 | num cardinale
101 | 项 | spécificatif
102 | 振兴 | verbe principal
104 | 上海 | Np lieu
106 | ， | ponctuation faible
107 | 建设 | verbe principal
109 | 现代化 | Nc général
112 | 经济 | Nc général
114 | 、 | ponctuation faible
115 | 贸易 | Nc général
117 | 、 | ponctuation faible
118 | 金融 | Nc général
120 | 中心 | Nc général
122 | 的 | particule structure suffix de modifier
123 | 跨世纪 | adj qualificatif général attribut du sujet
126 | 工程 | Nc général
128 | ， | ponctuation faible
129 | 因此 | adv général
131 | 大量 | adv général
133 | 出现 | verbe principal
135 | 的 | particule structure suffix de modifier
136 | 是 | verbe copule
137 | 以前 | Nc notion de temps saison et Jie Qi
139 | 不 | adv général
140 | 曾 | adv général
141 | 遇到 | verbe principal
143 | 过 | particule temps action finie
144 | 的 | particule structure suffix de modifier
145 | 新 | adj qualificatif général attribut du sujet
146 | 情况 | Nc général
148 | 、 | ponctuation faible
149 | 新 | adj qualificatif général attribut du sujet
150 | 问题 | Nc général
152 | 。 | ponctuation forte
153 | 对 | prep général
154 | 此 | pron indéfini
155 | ， | ponctuation faible
156 | 浦东 | Np lieu
158 | 不 | adv général
159 | 是 | verbe copule
160 | 简单 | adj qualificatif général épithète
162 | 的 | particule structure particule di4
163 | 采取 | verbe principal
165 | “ | ponctuation mise en évidence
166 | 干 | verbe principal
167 | 一 | num cardinale
168 | 段 | spécificatif
169 | 时间 | Nc général
171 | ， | ponctuation faible
172 | 等 | prep général
173 | 积累 | verbe principal
175 | 了 | particule temps action finie
176 | 经验 | Nc général
178 | 以后 | Nc notion de direction
180 | 再 | adv général
181 | 制定 | verbe principal
183 | 法规 | Nc général
185 | 条例 | Nc général
187 | ” | ponctuation mise en évidence
188 | 的 | particule structure suffix de modifier
189 | 做法 | Nc général
191 | ， | ponctuation faible
192 | 而 | conj coordination lier tout
193 | 是 | verbe copule
194 | 借鉴 | verbe principal
196 | 发达 | adj qualificatif général attribut du sujet
198 | 国家 | Nc général
200 | 和 | conj coordination lier que d'expressions
201 | 深圳 | Np lieu
203 | 等 | particule autres
204 | 特区 | Nc général
206 | 的 | particule structure dans la structure de
207 | 经验 | Nc général
209 | 教训 | Nc général
211 | ， | ponctuation faible
212 | 聘请 | verbe principal
214 | 国内外 | Nc général
217 | 有关 | adj qualificatif général attribut du sujet
219 | 专家 | Nc général
221 | 学者 | Nc général
223 | ， | ponctuation faible
224 | 积极 | adv général
226 | 、 | ponctuation faible
227 | 及时 | adv général
229 | 地 | particule structure particule di4
230 | 制定 | verbe principal
232 | 和 | conj coordination lier que d'expressions
233 | 推出 | verbe principal
235 | 法规性 | Nc général
238 | 文件 | Nc général
240 | ， | ponctuation faible
241 | 使 | verbe principal
242 | 这些 | det démonstratif
244 | 经济 | Nc général
246 | 活动 | Nc général
248 | 一 | adv général
249 | 出现 | verbe principal
251 | 就 | adv général
252 | 被 | 
253 | 纳入 | verbe principal
255 | 法制 | Nc général
257 | 轨道 | Nc général
259 | 。 | ponctuation forte
260 | 去年 | Nc notion de temps saison et Jie Qi
262 | 初 | Nc notion de direction
263 | 浦东 | Np lieu
265 | 新区 | Nc général
267 | 诞生 | verbe principal
269 | 的 | particule structure suffix de modifier
270 | 中国 | Np lieu
272 | 第一 | num ordinale
274 | 家 | spécificatif
275 | 医疗 | Nc général
277 | 机构 | Nc général
279 | 药品 | Nc général
281 | 采购 | Nc général
283 | 服务 | Nc général
285 | 中心 | Nc général
287 | ， | ponctuation faible
288 | 正 | adv général
289 | 因为 | prep général
291 | 一 | adv général
292 | 开始 | verbe principal
294 | 就 | adv général
295 | 比较 | adv général
297 | 规范 | adj qualificatif général épithète
299 | ， | ponctuation faible
300 | 运转 | verbe principal
302 | 至今 | verbe principal
304 | ， | ponctuation faible
305 | 成交 | verbe principal
307 | 药品 | Nc général
309 | 一亿多 | num cardinale
312 | 元 | spécificatif
313 | ， | ponctuation faible
314 | 没有 | verbe principal
316 | 发现 | verbe principal
318 | 一 | num cardinale
319 | 例 | spécificatif
320 | 回扣 | Nc général
322 | 。 | ponctuation forte
323 | 建筑 | Nc général
325 | 是 | verbe copule
326 | 开发 | verbe principal
328 | 浦东 | Np lieu
330 | 的 | particule structure suffix de modifier
331 | 一 | num cardinale
332 | 项 | spécificatif
333 | 主要 | adj qualificatif général attribut du sujet
335 | 经济 | Nc général
337 | 活动 | Nc général
339 | ， | ponctuation faible
340 | 这些 | det démonstratif
342 | 年 | spécificatif
343 | 有 | verbe auxiliaire
344 | 数百 | num cardinale
346 | 家 | spécificatif
347 | 建筑 | Nc général
349 | 公司 | Nc général
351 | 、 | ponctuation faible
352 | 四千余 | num cardinale
355 | 个 | spécificatif
